support,itemsets
1.0583466508620234e-05,"frozenset({'signaling_and_security', 'baby'})"
1.0583466508620234e-05,"frozenset({'sports_leisure', 'baby'})"
0.00020108586366378444,"frozenset({'baby', 'toys'})"
1.0583466508620234e-05,"frozenset({'watches_gifts', 'baby'})"
1.0583466508620234e-05,"frozenset({'bed_bath_table', 'computers_accessories'})"
1.0583466508620234e-05,"frozenset({'bed_bath_table', 'construction_tools_construction'})"
1.0583466508620234e-05,"frozenset({'construction_tools_lights', 'bed_bath_table'})"
1.0583466508620234e-05,"frozenset({'bed_bath_table', 'construction_tools_safety'})"
0.00010583466508620233,"frozenset({'bed_bath_table', 'cool_stuff'})"
2.1166933017240467e-05,"frozenset({'costruction_tools_garden', 'bed_bath_table'})"
2.1166933017240467e-05,"frozenset({'bed_bath_table', 'electronics'})"
1.0583466508620234e-05,"frozenset({'bed_bath_table', 'food'})"
1.0583466508620234e-05,"frozenset({'furniture_bedroom', 'bed_bath_table'})"
0.0007302591890947961,"frozenset({'bed_bath_table', 'furniture_decor'})"
2.1166933017240467e-05,"frozenset({'furniture_living_room', 'bed_bath_table'})"
4.2333866034480934e-05,"frozenset({'bed_bath_table', 'garden_tools'})"
0.00011641813159482257,"frozenset({'health_beauty', 'bed_bath_table'})"
1.0583466508620234e-05,"frozenset({'home_appliances_2', 'bed_bath_table'})"
0.00045508905987067005,"frozenset({'home_confort', 'bed_bath_table'})"
0.00021166933017240466,"frozenset({'bed_bath_table', 'housewares'})"
1.0583466508620234e-05,"frozenset({'bed_bath_table', 'kitchen_dining_laundry_garden_furniture'})"
2.1166933017240467e-05,"frozenset({'market_place', 'bed_bath_table'})"
5.2917332543101164e-05,"frozenset({'office_furniture', 'bed_bath_table'})"
1.0583466508620234e-05,"frozenset({'bed_bath_table', 'party_supplies'})"
1.0583466508620234e-05,"frozenset({'bed_bath_table', 'perfumery'})"
1.0583466508620234e-05,"frozenset({'bed_bath_table', 'pet_shop'})"
1.0583466508620234e-05,"frozenset({'sports_leisure', 'bed_bath_table'})"
2.1166933017240467e-05,"frozenset({'bed_bath_table', 'toys'})"
1.0583466508620234e-05,"frozenset({'books_general_interest', 'cool_stuff'})"
1.0583466508620234e-05,"frozenset({'books_general_interest', 'housewares'})"
2.1166933017240467e-05,"frozenset({'books_general_interest', 'market_place'})"
1.0583466508620234e-05,"frozenset({'costruction_tools_garden', 'books_technical'})"
1.0583466508620234e-05,"frozenset({'furniture_decor', 'books_technical'})"
1.0583466508620234e-05,"frozenset({'health_beauty', 'books_technical'})"
1.0583466508620234e-05,"frozenset({'books_technical', 'music'})"
1.0583466508620234e-05,"frozenset({'cine_photo', 'cool_stuff'})"
1.0583466508620234e-05,"frozenset({'cine_photo', 'sports_leisure'})"
