antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'costruction_tools_garden'}),frozenset({'books_technical'}),0.0020108586366378444,0.0026987839596981597,1.0583466508620234e-05,0.005263157894736842,1.9501960784313723,1.0,5.156593474841509e-06,1.0025779420510972,0.48821277453153333,0.0022522522522522522,0.0025713133542745563,0.004592363261093911
frozenset({'books_technical'}),frozenset({'costruction_tools_garden'}),0.0026987839596981597,0.0020108586366378444,1.0583466508620234e-05,0.00392156862745098,1.9501960784313725,1.0,5.156593474841509e-06,1.0019182324710918,0.4885495373121657,0.0022522522522522522,0.0019145599001236602,0.004592363261093911
frozenset({'books_technical'}),frozenset({'music'}),0.0026987839596981597,0.0004021717273275689,1.0583466508620234e-05,0.00392156862745098,9.750980392156862,1.0,9.498091901864489e-06,1.0035332527934309,0.8998747771457679,0.003424657534246575,0.003520812871517547,0.015118679050567595
frozenset({'music'}),frozenset({'books_technical'}),0.0004021717273275689,0.0026987839596981597,1.0583466508620234e-05,0.02631578947368421,9.750980392156862,1.0,9.498091901864489e-06,1.02425530296031,0.8978072822369745,0.003424657534246575,0.02368091518804652,0.015118679050567595
frozenset({'costruction_tools_garden'}),frozenset({'construction_tools_lights'}),0.0020108586366378444,0.0025294484955602358,1.0583466508620234e-05,0.005263157894736842,2.080753138075314,1.0,5.497103155392331e-06,1.0027481734700716,0.5204513399153737,0.0023364485981308414,0.0027406417112299463,0.004723629156573442
frozenset({'construction_tools_lights'}),frozenset({'costruction_tools_garden'}),0.0025294484955602358,0.0020108586366378444,1.0583466508620234e-05,0.004184100418410042,2.080753138075314,1.0,5.497103155392331e-06,1.0021823730497628,0.5207219251336899,0.0023364485981308414,0.002177620669101983,0.004723629156573442
frozenset({'home_construction'}),frozenset({'construction_tools_safety'}),0.005090647390646332,0.001672187708361997,2.1166933017240467e-05,0.004158004158004158,2.4865654359325244,1.0,1.2654415022996597e-05,1.0024961956414988,0.6008978150330829,0.003139717425431711,0.0024899801638662436,0.008408116003052711
frozenset({'construction_tools_safety'}),frozenset({'home_construction'}),0.001672187708361997,0.005090647390646332,2.1166933017240467e-05,0.012658227848101266,2.4865654359325244,1.0,1.2654415022996597e-05,1.0076646007197299,0.5988402294098315,0.003139717425431711,0.007606301456114974,0.008408116003052711
frozenset({'costruction_tools_garden'}),frozenset({'flowers'}),0.0020108586366378444,0.00029633706224136655,1.0583466508620234e-05,0.005263157894736842,17.760714285714286,1.0,9.987574567656295e-06,1.0049931003077996,0.9455974209147693,0.004608294930875576,0.004968293121883569,0.02048872180451128
frozenset({'flowers'}),frozenset({'costruction_tools_garden'}),0.00029633706224136655,0.0020108586366378444,1.0583466508620234e-05,0.03571428571428571,17.760714285714286,1.0,9.987574567656295e-06,1.0349517021545978,0.9439756931578781,0.004608294930875576,0.03377133646124176,0.02048872180451128
