order_value
1407855.83
1257539.51
1229447.33
1117494.6300000001
1036574.85
880715.84
756309.97
685996.77
662580.04
564791.95
542742.68
463617.78
443043.6
377038.89
333173.58
268603.48
249737.63
219274.62
199429.59
197607.83
196378.96
180273.28
168060.83
165465.55
161401.46
118283.08
96811.21
94830.22
84254.59
76203.3
65928.83
59210.29
59043.94
56758.74
55964.46
53781.2
49245.9
46671.97
45582.2
42459.79
35252.28
33017.2
30362.12
27660.02
27597.28
27283.98
27095.23
23379.22
22916.27
19477.1
17731.62
12280.53
11095.02
10972.710000000001
7925.47
7697.03
6724.860000000001
5904.75
5769.84
5285.38
5150.94
3297.14
2696.64
2251.43
2184.1400000000003
2046.19
1453.79
1086.58
954.99
598.67
324.51
